content,score,at,userName,sentiment,text_clean,text_StopWord,text_stemmed
Hbis upgrade knp mlah g bisa d buka apk nya😢,3,2024-04-02 21:32:40,Pengguna Google,Netral,hbis upgrade knp mlah g bisa d buka apk nya,hbis upgrade knp mlah g d buka apk nya,hbi upgrad knp mlah g d buka apk nya
Informasi cepat.,5,2024-04-01 05:31:21,Pengguna Google,Positif,informasi cepat,informasi cepat,informasi cepat
"Aplikasinya makin ngawur aja ini, masa realnya hujan keterangannya cerah berawan🤦🤦🤦🤦",1,2024-03-31 22:04:14,Pengguna Google,Negatif,aplikasinya makin ngawur aja ini masa realnya hujan keterangannya cerah berawan,aplikasinya ngawur aja realnya hujan keterangannya cerah berawan,aplikasinya ngawur aja realnya hujan keterangannya cerah berawan
Gempa terus dan terus tapi ga apa bintang 5 ⭐🌟⭐🌟⭐,5,2024-03-30 15:50:33,Pengguna Google,Positif,gempa terus dan terus tapi ga apa bintang  ,gempa ga bintang,gempa ga bintang
"titik gempa itu sebenarnya tidak cuma satu saja , namun seharusnya memperhatikan tampilan gempa kecil kecil , di detik yang sama di banyak tempat yang berbeda lokasi ratusan kilometer , ada yang di dasar laut di utara maluku , dan di detik yang sama juga terjadi di pulau jawa akibat gunung yang sedang mengeluarkan asap agak banyak di hari itu , dan tampilan nya bisa dibedakan dari warna merah , merah muda , merah tua , sehingga gempa itu bukan dari perasaan nya sendiri , badan nya goyang goyang",5,2024-03-30 09:48:01,Pengguna Google,Positif,titik gempa itu sebenarnya tidak cuma satu saja  namun seharusnya memperhatikan tampilan gempa kecil kecil  di detik yang sama di banyak tempat yang berbeda lokasi ratusan kilometer  ada yang di dasar laut di utara maluku  dan di detik yang sama juga terjadi di pulau jawa akibat gunung yang sedang mengeluarkan asap agak banyak di hari itu  dan tampilan nya bisa dibedakan dari warna merah  merah muda  merah tua  sehingga gempa itu bukan dari perasaan nya sendiri  badan nya goyang goyang,titik gempa memperhatikan tampilan gempa detik berbeda lokasi ratusan kilometer dasar laut utara maluku detik pulau jawa akibat gunung mengeluarkan asap tampilan nya dibedakan warna merah merah muda merah tua gempa perasaan nya badan nya goyang goyang,titik gempa memperhatikan tampilan gempa detik berbeda lokasi ratusan kilomet dasar laut utara maluku detik pulau jawa akibat gunung mengeluarkan asap tampilan nya dibedakan warna merah merah muda merah tua gempa perasaan nya badan nya goyang goyang
"Tidak bisa masuk ke halaman Beranda, makin kemari makin sering gangguan sekarang, walaupun terbuka cuaca tidak terupdate secara real time, mungkin aplikasinya sangat sulit untuk diupdate setiap saat bila ada perubahan iklim/cuaca ya.. Sehingga harus lewat pemberitahuan terus.. Kr bisa berkedok ""Ramalan"" Wkwkwk...",1,2024-03-30 03:54:25,Pengguna Google,Negatif,tidak bisa masuk ke halaman beranda makin kemari makin sering gangguan sekarang walaupun terbuka cuaca tidak terupdate secara real time mungkin aplikasinya sangat sulit untuk diupdate setiap saat bila ada perubahan iklimcuaca ya sehingga harus lewat pemberitahuan terus kr bisa berkedok ramalan wkwkwk,masuk halaman beranda kemari gangguan terbuka cuaca terupdate real time aplikasinya sulit diupdate perubahan iklimcuaca ya pemberitahuan kr berkedok ramalan wkwkwk,masuk halaman beranda kemari gangguan terbuka cuaca terupd real time aplikasinya sulit diupdat perubahan iklimcuaca ya pemberitahuan kr berkedok ramalan wkwkwk
"Mohon tambahkan fitur widget cuaca untuk home screen, supaya satset, ga usah buka aplikasinya dulu 🙏",5,2024-03-29 20:21:30,Pengguna Google,Positif,mohon tambahkan fitur widget cuaca untuk home screen supaya satset ga usah buka aplikasinya dulu ,mohon tambahkan fitur widget cuaca home screen satset ga buka aplikasinya,mohon tambahkan fitur widget cuaca home screen satset ga buka aplikasinya
Tolong tambahkan alarm gempa bumi,4,2024-03-29 18:31:44,Pengguna Google,Positif,tolong tambahkan alarm gempa bumi,tolong tambahkan alarm gempa bumi,tolong tambahkan alarm gempa bumi
Aplikasinya sangat membantu tapi terkadang mengalami BUG. Mohon perbaikannya. Terimakasih,2,2024-03-29 14:51:07,Pengguna Google,Negatif,aplikasinya sangat membantu tapi terkadang mengalami bug mohon perbaikannya terimakasih,aplikasinya membantu terkadang mengalami bug mohon perbaikannya terimakasih,aplikasinya membantu terkadang mengalami bug mohon perbaikannya terimakasih
"Laporan Gempa dan Cuaca, cukup akurat",4,2024-03-28 09:01:37,Pengguna Google,Positif,laporan gempa dan cuaca cukup akurat,laporan gempa cuaca akurat,laporan gempa cuaca akurat
Infox cepat dan tepat...,5,2024-03-28 08:39:04,Pengguna Google,Positif,infox cepat dan tepat,infox cepat,infox cepat
"BMKG jangan berbohong terus dong. BMKG sangat luar biasa tidak akurat. BMKG hanya penipu. Setiap hari katanya seharian hujan deras tapi kenyataannya panas luar biasa. Dari pagi sampai malam katanya hujan deras tapi kenyataannya panas, matahari bersinar sangat cerah tanpa awan apapun ☀️. BMKG tidak pernah benar selalu berbohong panas dibilang hujan & sebaliknya. Perbaikilah keakuratannya. Bawalah hujan ke Jawa Timur. Hujan di Jabar & Jateng hanya jadi bencana jatuhkan di Jatim jadi berkah",1,2024-03-28 06:47:41,Pengguna Google,Negatif,bmkg jangan berbohong terus dong bmkg sangat luar biasa tidak akurat bmkg hanya penipu setiap hari katanya seharian hujan deras tapi kenyataannya panas luar biasa dari pagi sampai malam katanya hujan deras tapi kenyataannya panas matahari bersinar sangat cerah tanpa awan apapun  bmkg tidak pernah benar selalu berbohong panas dibilang hujan  sebaliknya perbaikilah keakuratannya bawalah hujan ke jawa timur hujan di jabar  jateng hanya jadi bencana jatuhkan di jatim jadi berkah,bmkg berbohong bmkg akurat bmkg penipu seharian hujan deras kenyataannya panas pagi malam hujan deras kenyataannya panas matahari bersinar cerah awan apapun bmkg berbohong panas dibilang hujan perbaikilah keakuratannya bawalah hujan jawa timur hujan jabar jateng bencana jatuhkan jatim berkah,bmkg berbohong bmkg akurat bmkg penipu seharian hujan dera kenyataannya pana pagi malam hujan dera kenyataannya pana matahari bersinar cerah awan apapun bmkg berbohong pana dibilang hujan perbaikilah keakuratannya bawalah hujan jawa timur hujan jabar jateng bencana jatuhkan jatim berkah
Sangat bermanfaat,5,2024-03-26 15:34:26,Pengguna Google,Positif,sangat bermanfaat,bermanfaat,bermanfaat
Peringatan dini cuaca sudah kembali normal. Semoga tidak ada kendala lagi.,5,2024-03-26 13:11:10,Pengguna Google,Positif,peringatan dini cuaca sudah kembali normal semoga tidak ada kendala lagi,peringatan cuaca normal semoga kendala,peringatan cuaca normal semoga kendala
Yg terhormat pembuat apk bmg. Bagus se apkikasinya cuma.... Mbokya notifnya itu muncul pas mau ada gempa gitu loh kayak bmg orang jepang. Biar hp ini gk panas soale muncul notif mulu 🤦‍♀️ mau dimatiin notifnya kok parno..... Tolong ya...... Plis.... Banget....,5,2024-03-26 08:08:59,Pengguna Google,Positif,yg terhormat pembuat apk bmg bagus se apkikasinya cuma mbokya notifnya itu muncul pas mau ada gempa gitu loh kayak bmg orang jepang biar hp ini gk panas soale muncul notif mulu  mau dimatiin notifnya kok parno tolong ya plis banget,yg terhormat pembuat apk bmg bagus apkikasinya mbokya notifnya muncul pas gempa gitu loh kayak bmg orang jepang biar hp gk panas soale muncul notif mulu dimatiin notifnya parno tolong ya plis banget,yg terhormat pembuat apk bmg bagu apkikasinya mbokya notifnya muncul pa gempa gitu loh kayak bmg orang jepang biar hp gk pana soal muncul notif mulu dimatiin notifnya parno tolong ya pli banget
Terima kasih mudah2an bermanfaat,5,2024-03-26 03:23:45,Pengguna Google,Positif,terima kasih mudahan bermanfaat,terima kasih mudahan bermanfaat,terima kasih mudahan bermanfaat
Sangat bermanfaat,5,2024-03-26 02:49:18,Pengguna Google,Positif,sangat bermanfaat,bermanfaat,bermanfaat
otaku lebih,1,2024-03-26 00:19:14,Pengguna Google,Negatif,otaku lebih,otaku,otaku
Saran saja Lebih baik tambah notifikasi suara akan terjadinya gempa.soalnya lagi banyak gempa,5,2024-03-26 00:08:52,Pengguna Google,Positif,saran saja lebih baik tambah notifikasi suara akan terjadinya gempasoalnya lagi banyak gempa,saran notifikasi suara gempasoalnya gempa,saran notifikasi suara gempasoalnya gempa
sangat membantu untuk antisipasi mengurangi dampak bencana..dan meminimalisir korban harta dan jiwa,5,2024-03-25 21:52:56,Pengguna Google,Positif,sangat membantu untuk antisipasi mengurangi dampak bencanadan meminimalisir korban harta dan jiwa,membantu antisipasi mengurangi dampak bencanadan meminimalisir korban harta jiwa,membantu antisipasi mengurangi dampak bencanadan meminimalisir korban harta jiwa
tidak akutat terpaksa q uninstal,1,2024-03-25 12:38:29,Pengguna Google,Negatif,tidak akutat terpaksa q uninstal,akutat terpaksa q uninstal,akutat terpaksa q uninst
"Kok ngak akurat ya perkiraan cuacanaya, lebih akurat notif yg bawaan dari hape.",3,2024-03-25 06:04:56,Pengguna Google,Netral,kok ngak akurat ya perkiraan cuacanaya lebih akurat notif yg bawaan dari hape,ngak akurat ya perkiraan cuacanaya akurat notif yg bawaan hape,ngak akurat ya perkiraan cuacanaya akurat notif yg bawaan hape
"Bagus, sangat membantu.Semoga ke depannya menjadi lebih baik",4,2024-03-25 01:25:30,Pengguna Google,Positif,bagus sangat membantusemoga ke depannya menjadi lebih baik,bagus membantusemoga depannya,bagu membantusemoga depannya
"Beresin bugnya dong, masa buka app nya gabisa gegara bug? Ampe di FC mlu sm samsungnya tuuu",2,2024-03-24 23:36:32,Pengguna Google,Negatif,beresin bugnya dong masa buka app nya gabisa gegara bug ampe di fc mlu sm samsungnya tuuu,beresin bugnya buka app nya gabisa gegara bug ampe fc mlu sm samsungnya tuuu,beresin bugnya buka app nya gabisa gegara bug amp fc mlu sm samsungnya tuuu
Sangat membantu..,5,2024-03-24 20:48:41,Pengguna Google,Positif,sangat membantu,membantu,membantu
Ok,5,2024-03-24 15:34:39,Pengguna Google,Positif,ok,ok,ok
"App yg akurat dan bermanfaat membantu Rakyat Indonesia dalam mengetahui Cuaca keadaan Alam, agar dapat selalu Bersyukur dan menjaga Alam tetap Lestari.",5,2024-03-24 12:48:51,Pengguna Google,Positif,app yg akurat dan bermanfaat membantu rakyat indonesia dalam mengetahui cuaca keadaan alam agar dapat selalu bersyukur dan menjaga alam tetap lestari,app yg akurat bermanfaat membantu rakyat indonesia cuaca alam bersyukur menjaga alam lestari,app yg akurat bermanfaat membantu rakyat indonesia cuaca alam bersyukur menjaga alam lestari
Sangat baik jaringannya .,5,2024-03-24 12:41:44,Pengguna Google,Positif,sangat baik jaringannya ,jaringannya,jaringannya
"Kenapa ya sekarang kok notif nya suka telat, biasanya notif sama kejadian suka sinkron",3,2024-03-24 11:26:07,Pengguna Google,Netral,kenapa ya sekarang kok notif nya suka telat biasanya notif sama kejadian suka sinkron,ya notif nya suka telat notif kejadian suka sinkron,ya notif nya suka telat notif kejadian suka sinkron
Good,5,2024-03-24 10:59:16,Pengguna Google,Positif,good,good,good
"Coba bisa di tingkatkan lagi, Tambahkan fungsi alarm suara peringatan jika terjadi gempa bumi, kalau hanya notif biasa gak ngaruh mesti buka aplikasi dlu baru tau kalo ada gempa",4,2024-03-24 05:03:59,Pengguna Google,Positif,coba bisa di tingkatkan lagi tambahkan fungsi alarm suara peringatan jika terjadi gempa bumi kalau hanya notif biasa gak ngaruh mesti buka aplikasi dlu baru tau kalo ada gempa,coba tingkatkan tambahkan fungsi alarm suara peringatan gempa bumi notif gak ngaruh mesti buka aplikasi dlu tau kalo gempa,coba tingkatkan tambahkan fungsi alarm suara peringatan gempa bumi notif gak ngaruh mesti buka aplikasi dlu tau kalo gempa
"Keren app nya, semoga bisa ada widget",5,2024-03-24 04:28:25,Pengguna Google,Positif,keren app nya semoga bisa ada widget,keren app nya semoga widget,keren app nya semoga widget
sangat membantu sekali untuk informasi geologi dan cuaca,4,2024-03-24 03:35:33,Pengguna Google,Positif,sangat membantu sekali untuk informasi geologi dan cuaca,membantu informasi geologi cuaca,membantu informasi geolog cuaca
"Untuk developer, aplikasi ini tidak bisa bekerja jika DNS adsense guard di ponsel aktif🙏",5,2024-03-24 03:22:46,Pengguna Google,Positif,untuk developer aplikasi ini tidak bisa bekerja jika dns adsense guard di ponsel aktif,developer aplikasi dns adsense guard ponsel aktif,develop aplikasi dn adsens guard ponsel aktif
Assalamualaaikum salaaam,4,2024-03-23 17:14:22,Pengguna Google,Positif,assalamualaaikum salaaam,assalamualaaikum salaaam,assalamualaaikum salaaam
bagus,5,2024-03-23 13:40:29,Pengguna Google,Positif,bagus,bagus,bagu
Kurang akurat,4,2024-03-23 13:38:26,Pengguna Google,Positif,kurang akurat,akurat,akurat
"Kenapa punya saya berhenti di awal ya, nda buka² aplikasi nya",3,2024-03-23 12:30:09,Pengguna Google,Netral,kenapa punya saya berhenti di awal ya nda buka² aplikasi nya,berhenti ya nda buka² aplikasi nya,berhenti ya nda buka² aplikasi nya
App BMKG semakin di upload makin susah untuk buka satelit cuaca aja loading mulu untuk buka yg lain bisa kenapa buka satelit cuaca susah.,3,2024-03-23 12:15:38,Pengguna Google,Netral,app bmkg semakin di upload makin susah untuk buka satelit cuaca aja loading mulu untuk buka yg lain bisa kenapa buka satelit cuaca susah,app bmkg upload susah buka satelit cuaca aja loading mulu buka yg buka satelit cuaca susah,app bmkg upload susah buka satelit cuaca aja load mulu buka yg buka satelit cuaca susah
Bisa gak bmkg memberi informasi gempa bumi sebelum terjadi?,5,2024-03-23 11:39:40,Pengguna Google,Positif,bisa gak bmkg memberi informasi gempa bumi sebelum terjadi,gak bmkg informasi gempa bumi,gak bmkg informasi gempa bumi
Add,5,2024-03-23 01:47:50,Pengguna Google,Positif,add,add,add
"Utk bmkg update gempa harus benar.. Sidoarjo kmrn tgl 23/03/24 juga merasakan gempa dan itu kekuatannya juga seperti 7. Kok cuman SBY saja yg kena,Sidoarjo juga merasakan gempa. Update yang benar. Lah🙏🏻🙏🏻",2,2024-03-23 00:52:08,Pengguna Google,Negatif,utk bmkg update gempa harus benar sidoarjo kmrn tgl  juga merasakan gempa dan itu kekuatannya juga seperti  kok cuman sby saja yg kenasidoarjo juga merasakan gempa update yang benar lah,utk bmkg update gempa sidoarjo kmrn tgl merasakan gempa kekuatannya cuman sby yg kenasidoarjo merasakan gempa update,utk bmkg updat gempa sidoarjo kmrn tgl merasakan gempa kekuatannya cuman sbi yg kenasidoarjo merasakan gempa updat
Kalo da alarm sblm gempa / stunami lebih bagus lagi kyk di jepang,5,2024-03-22 17:09:04,Pengguna Google,Positif,kalo da alarm sblm gempa  stunami lebih bagus lagi kyk di jepang,kalo da alarm sblm gempa stunami bagus kyk jepang,kalo da alarm sblm gempa stunami bagu kyk jepang
Terimakasih atas 🙏🙏🙏🙏 membantu 😭,5,2024-03-22 14:35:39,Pengguna Google,Positif,terimakasih atas  membantu ,terimakasih membantu,terimakasih membantu
Mantab,5,2024-03-22 14:30:24,Pengguna Google,Positif,mantab,mantab,mantab
"Tolong Developer tambahin fitur Peringatan Darurat Gempa Bumi diHandphone agar bisa bunyi sendiri/bergetar ketika ada Gempa Bumi diwilayah yang terkena, seperti negara² lain",5,2024-03-22 11:19:10,Pengguna Google,Positif,tolong developer tambahin fitur peringatan darurat gempa bumi dihandphone agar bisa bunyi sendiribergetar ketika ada gempa bumi diwilayah yang terkena seperti negara² lain,tolong developer tambahin fitur peringatan darurat gempa bumi dihandphone bunyi sendiribergetar gempa bumi diwilayah terkena negara²,tolong develop tambahin fitur peringatan darurat gempa bumi dihandphon bunyi sendiribergetar gempa bumi diwilayah terkena negara²
Tolong ditambah menu tersendiri untuk mitigasi jika terjadi gempa bumi atau bencana alam yang lain 🙏🏻,5,2024-03-22 10:48:07,Pengguna Google,Positif,tolong ditambah menu tersendiri untuk mitigasi jika terjadi gempa bumi atau bencana alam yang lain ,tolong ditambah menu tersendiri mitigasi gempa bumi bencana alam,tolong ditambah menu tersendiri mitigasi gempa bumi bencana alam
Saya coba dlu kalau benar membantu saya kasih bintang lima,4,2024-03-22 10:17:26,Pengguna Google,Positif,saya coba dlu kalau benar membantu saya kasih bintang lima,coba dlu membantu kasih bintang,coba dlu membantu kasih bintang
Membantu banget,5,2024-03-22 09:51:59,Pengguna Google,Positif,membantu banget,membantu banget,membantu banget
Nice good apk,5,2024-03-22 09:41:42,Pengguna Google,Positif,nice good apk,nice good apk,nice good apk
Akurat,5,2024-03-22 09:27:54,Pengguna Google,Positif,akurat,akurat,akurat
Oke,1,2024-03-22 09:21:37,Pengguna Google,Negatif,oke,oke,oke
"aplikasi bagus, kalo bisa nih aplikasi dapat disematkan ke aplikasi bawaan ponsel resmi di indonesia,, jadi tiap beli dah pasti punya ini aplikasi, sama peringatan dini muncul teratas untuk jarak 10-50km dari tempat kejadian, bair terasa sepwrti peringatan dini gempa jepang hanya orang disekitar dampak kejadian yang dapat.",5,2024-03-22 09:21:02,Pengguna Google,Positif,aplikasi bagus kalo bisa nih aplikasi dapat disematkan ke aplikasi bawaan ponsel resmi di indonesia jadi tiap beli dah pasti punya ini aplikasi sama peringatan dini muncul teratas untuk jarak km dari tempat kejadian bair terasa sepwrti peringatan dini gempa jepang hanya orang disekitar dampak kejadian yang dapat,aplikasi bagus kalo nih aplikasi disematkan aplikasi bawaan ponsel resmi indonesia beli dah aplikasi peringatan muncul teratas jarak km kejadian bair sepwrti peringatan gempa jepang orang disekitar dampak kejadian,aplikasi bagu kalo nih aplikasi disematkan aplikasi bawaan ponsel resmi indonesia beli dah aplikasi peringatan muncul terata jarak km kejadian bair sepwrti peringatan gempa jepang orang disekitar dampak kejadian
Bagis,5,2024-03-22 09:20:17,Pengguna Google,Positif,bagis,bagis,bagi
sangat bagus.. untuk info akurat.. mohon diupdate terus sampe ada Warning Bahaya utk lokasi terdekat.. biar bs terkoordinasi dengan baik dan pasti mengurangi berita2 yg g jelas,5,2024-03-22 09:18:51,Pengguna Google,Positif,sangat bagus untuk info akurat mohon diupdate terus sampe ada warning bahaya utk lokasi terdekat biar bs terkoordinasi dengan baik dan pasti mengurangi berita yg g jelas,bagus info akurat mohon diupdate sampe warning bahaya utk lokasi terdekat biar bs terkoordinasi mengurangi berita yg g,bagu info akurat mohon diupdat samp warn bahaya utk lokasi terdekat biar bs terkoordinasi mengurangi berita yg g
Kelamaan kirim notifikasinya,3,2024-03-22 09:18:01,Pengguna Google,Netral,kelamaan kirim notifikasinya,kirim notifikasinya,kirim notifikasinya
Ok,5,2024-03-22 09:01:31,Pengguna Google,Positif,ok,ok,ok
Sangat membatu semoga lebih baik lagi sukses terus bmkg,5,2024-03-22 09:01:15,Pengguna Google,Positif,sangat membatu semoga lebih baik lagi sukses terus bmkg,membatu semoga sukses bmkg,membatu semoga suks bmkg
Kalsel kena gempa,4,2024-03-22 09:01:10,Pengguna Google,Positif,kalsel kena gempa,kalsel kena gempa,kalsel kena gempa
Sy akan menggunakan aplikasi ini juga harus bisa,5,2024-03-22 08:59:34,Pengguna Google,Positif,sy akan menggunakan aplikasi ini juga harus bisa,sy aplikasi,sy aplikasi
"Sebenernya ini aplikasi bagus namun, notif selalu keluar setelah kejadian, tidak sesuai dengn namanya yg ""peringatan sebelum gempa""",3,2024-03-22 08:59:14,Pengguna Google,Netral,sebenernya ini aplikasi bagus namun notif selalu keluar setelah kejadian tidak sesuai dengn namanya yg peringatan sebelum gempa,sebenernya aplikasi bagus notif kejadian sesuai dengn namanya yg peringatan gempa,sebenernya aplikasi bagu notif kejadian sesuai dengn namanya yg peringatan gempa
Ngefrezze ga bisa di buka,1,2024-03-22 07:24:50,Pengguna Google,Negatif,ngefrezze ga bisa di buka,ngefrezze ga buka,ngefrezz ga buka
Sangat bagus untuk kehidupan manusia,5,2024-03-22 06:34:49,Pengguna Google,Positif,sangat bagus untuk kehidupan manusia,bagus kehidupan manusia,bagu kehidupan manusia
Bagus bngt,5,2024-03-22 05:33:39,Pengguna Google,Positif,bagus bngt,bagus bngt,bagu bngt
Bagus real time nya benar,5,2024-03-22 04:38:05,Pengguna Google,Positif,bagus real time nya benar,bagus real time nya,bagu real time nya
sangat membantu,5,2024-03-22 04:34:51,Pengguna Google,Positif,sangat membantu,membantu,membantu
Ujan di bilang cerah Ga sesuai dengan cuaca ya,1,2024-03-22 02:03:07,Pengguna Google,Negatif,ujan di bilang cerah ga sesuai dengan cuaca ya,ujan bilang cerah ga sesuai cuaca ya,ujan bilang cerah ga sesuai cuaca ya
Informatif & mudah digunakan,5,2024-03-21 12:41:46,Pengguna Google,Positif,informatif  mudah digunakan,informatif mudah,informatif mudah
Bagus lebih akurat dari google. Tapi pengen ada widget layarnya,5,2024-03-21 01:14:15,Pengguna Google,Positif,bagus lebih akurat dari google tapi pengen ada widget layarnya,bagus akurat google pengen widget layarnya,bagu akurat googl pengen widget layarnya
membantu kalau mau bepergian,4,2024-03-20 22:46:57,Pengguna Google,Positif,membantu kalau mau bepergian,membantu bepergian,membantu bepergian
👍👍👍👍👍👍,5,2024-03-20 20:06:19,Pengguna Google,Positif,,,
Ok,5,2024-03-20 14:07:03,Pengguna Google,Positif,ok,ok,ok
Markotop Banget,4,2024-03-20 09:53:22,Pengguna Google,Positif,markotop banget,markotop banget,markotop banget
Aplikasi yg sangat membantu,5,2024-03-19 15:54:17,Pengguna Google,Positif,aplikasi yg sangat membantu,aplikasi yg membantu,aplikasi yg membantu
Aplikasi nya berguna lop yu bmkg❤️,5,2024-03-19 12:07:20,Pengguna Google,Positif,aplikasi nya berguna lop yu bmkg,aplikasi nya berguna lop yu bmkg,aplikasi nya berguna lop yu bmkg
semoga ada update tambahan widget biar bisa liat langsung info cuacanya,4,2024-03-18 07:23:44,Pengguna Google,Positif,semoga ada update tambahan widget biar bisa liat langsung info cuacanya,semoga update tambahan widget biar liat langsung info cuacanya,semoga updat tambahan widget biar liat langsung info cuacanya
Terima kasih😇,5,2024-03-18 06:42:05,Pengguna Google,Positif,terima kasih,terima kasih,terima kasih
Guss baguss,5,2024-03-18 03:27:58,Pengguna Google,Positif,guss baguss,guss baguss,guss baguss
Terima kasih atas informasinya,5,2024-03-18 02:38:31,Pengguna Google,Positif,terima kasih atas informasinya,terima kasih informasinya,terima kasih informasinya
Good,5,2024-03-17 20:20:45,Pengguna Google,Positif,good,good,good
Min klo boleh saran untuk radar hujan maps dibuat seperti google maps jangan dibuat peta hitam. Terimakasih,5,2024-03-17 16:55:20,Pengguna Google,Positif,min klo boleh saran untuk radar hujan maps dibuat seperti google maps jangan dibuat peta hitam terimakasih,min klo saran radar hujan maps google maps peta hitam terimakasih,min klo saran radar hujan map googl map peta hitam terimakasih
Jadi gini..,5,2024-03-17 16:52:13,Pengguna Google,Positif,jadi gini,gini,gini
Tempat saya baru saja terjadi gempa tp tdk ada info di aplikasinya. Payah,3,2024-03-17 16:22:06,Pengguna Google,Netral,tempat saya baru saja terjadi gempa tp tdk ada info di aplikasinya payah,gempa tp tdk info aplikasinya payah,gempa tp tdk info aplikasinya payah
Oke,4,2024-03-17 12:54:21,Pengguna Google,Positif,oke,oke,oke
Dukungan BMKG Indonesia 6 Dunia preode 1 interaksi alam indonesia,5,2024-03-17 12:47:44,Pengguna Google,Positif,dukungan bmkg indonesia  dunia preode  interaksi alam indonesia,dukungan bmkg indonesia dunia preode interaksi alam indonesia,dukungan bmkg indonesia dunia preod interaksi alam indonesia
Sangat penting buat peringatan bencana,5,2024-03-17 11:37:13,Pengguna Google,Positif,sangat penting buat peringatan bencana,peringatan bencana,peringatan bencana
buat cek cuaca bmkg dan potensi hujam,5,2024-03-17 10:37:39,Pengguna Google,Positif,buat cek cuaca bmkg dan potensi hujam,cek cuaca bmkg potensi hujam,cek cuaca bmkg potensi hujam
Ok,4,2024-03-17 10:01:24,Pengguna Google,Positif,ok,ok,ok
Sangat membantu informasi,5,2024-03-17 06:58:13,Pengguna Google,Positif,sangat membantu informasi,membantu informasi,membantu informasi
Semoga akurat info bmkg ini.,4,2024-03-17 06:21:46,Pengguna Google,Positif,semoga akurat info bmkg ini,semoga akurat info bmkg,semoga akurat info bmkg
Alhamdulilah walau hanya sekedar prediksi bagaian dari upaya manusia memforcash gejala alam tapi kita harus yakin ada Yang Maha Benar pembuat Keputusan,5,2024-03-17 06:00:28,Pengguna Google,Positif,alhamdulilah walau hanya sekedar prediksi bagaian dari upaya manusia memforcash gejala alam tapi kita harus yakin ada yang maha benar pembuat keputusan,alhamdulilah sekedar prediksi bagaian upaya manusia memforcash gejala alam maha pembuat keputusan,alhamdulilah sekedar prediksi bagaian upaya manusia memforcash gejala alam maha pembuat keputusan
very good,5,2024-03-17 03:31:00,Pengguna Google,Positif,very good,very good,veri good
Okai,5,2024-03-17 00:55:51,Pengguna Google,Positif,okai,okai,okai
"Kalo dikasih fitur, rute perjalanan kita diberikan informasi cuaca keren tuh... Jadi kita bisa prepare dalam perjalanan",5,2024-03-16 22:54:27,Pengguna Google,Positif,kalo dikasih fitur rute perjalanan kita diberikan informasi cuaca keren tuh jadi kita bisa prepare dalam perjalanan,kalo dikasih fitur rute perjalanan informasi cuaca keren tuh prepare perjalanan,kalo dikasih fitur rute perjalanan informasi cuaca keren tuh prepar perjalanan
Mendung dan hujan gerimis,5,2024-03-16 21:12:16,Pengguna Google,Positif,mendung dan hujan gerimis,mendung hujan gerimis,mendung hujan gerimi
Alhamdulillah,5,2024-03-16 20:55:04,Pengguna Google,Positif,alhamdulillah,alhamdulillah,alhamdulillah
"aplikasi sudah bagus, tapi ada yang kurang ngak ada widgetnya kalau bisa tolong ditambahin 🙏",4,2024-03-16 14:38:20,Pengguna Google,Positif,aplikasi sudah bagus tapi ada yang kurang ngak ada widgetnya kalau bisa tolong ditambahin ,aplikasi bagus ngak widgetnya tolong ditambahin,aplikasi bagu ngak widgetnya tolong ditambahin
Sangat membantu,5,2024-03-16 12:25:29,Pengguna Google,Positif,sangat membantu,membantu,membantu
prediksi cuacanya kurang akurat,5,2024-03-16 00:39:10,Pengguna Google,Positif,prediksi cuacanya kurang akurat,prediksi cuacanya akurat,prediksi cuacanya akurat
Mengapa sekarang aplikasi ini tidak akurat? Di aplikasi keterangan daerah saya cerah berawan. Tapi nyatanya hujan lebat. Tolong kalau seperti ini apa gunanya punya aplikasi?jika kita tidak bs bersiap2 dan berjaga2 dengan cuaca,1,2024-03-15 15:36:14,Pengguna Google,Negatif,mengapa sekarang aplikasi ini tidak akurat di aplikasi keterangan daerah saya cerah berawan tapi nyatanya hujan lebat tolong kalau seperti ini apa gunanya punya aplikasijika kita tidak bs bersiap dan berjaga dengan cuaca,aplikasi akurat aplikasi keterangan daerah cerah berawan hujan lebat tolong gunanya aplikasijika bs berjaga cuaca,aplikasi akurat aplikasi keterangan daerah cerah berawan hujan lebat tolong gunanya aplikasijika bs berjaga cuaca
Sangat membantu dan bermanfaat,5,2024-03-15 03:20:55,Pengguna Google,Positif,sangat membantu dan bermanfaat,membantu bermanfaat,membantu bermanfaat
"Bagus, pertahankan, dengarkan kritik & saran dari yang lain, terimakasih.",5,2024-03-14 15:00:20,Pengguna Google,Positif,bagus pertahankan dengarkan kritik  saran dari yang lain terimakasih,bagus pertahankan dengarkan kritik saran terimakasih,bagu pertahankan dengarkan kritik saran terimakasih
"Kalo bisa di akses offline bagus si.. Kdg ada warga kena banjir pasti jaringan jelek, dan butuh info terbaru gk perlu pake data",4,2024-03-14 12:54:26,Pengguna Google,Positif,kalo bisa di akses offline bagus si kdg ada warga kena banjir pasti jaringan jelek dan butuh info terbaru gk perlu pake data,kalo akses offline bagus si kdg warga kena banjir jaringan jelek butuh info terbaru gk pake data,kalo aks offlin bagu si kdg warga kena banjir jaringan jelek butuh info terbaru gk pake data
